,Unnamed: 0,id,name,artist,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,error,popularity
592,592.0,3ISINsZYIFxLmPKtgTsaS5,Josh-e-Junoon (Tuc Cricket Anthem),Ali Azmat,['sufi'],0.792,0.718,8.0,-6.1,0.0,0.0516,0.278,0.0,0.0864,0.549,128.011,audio_features,spotify:track:3ISINsZYIFxLmPKtgTsaS5,https://api.spotify.com/v1/tracks/3ISINsZYIFxLmPKtgTsaS5,https://api.spotify.com/v1/audio-analysis/3ISINsZYIFxLmPKtgTsaS5,195733.0,4.0,,
593,593.0,3ISINsZYIFxLmPKtgTsaS5,Josh-e-Junoon (Tuc Cricket Anthem),Ali Azmat,['sufi'],0.792,0.718,8.0,-6.1,0.0,0.0516,0.278,0.0,0.0864,0.549,128.011,audio_features,spotify:track:3ISINsZYIFxLmPKtgTsaS5,https://api.spotify.com/v1/tracks/3ISINsZYIFxLmPKtgTsaS5,https://api.spotify.com/v1/audio-analysis/3ISINsZYIFxLmPKtgTsaS5,195733.0,4.0,,
594,594.0,21LbamEpL0IxNf86vsrrPP,O Jane Wale,Mohammed Rafi,['bollywood'],0.569,0.22,10.0,-15.567,1.0,0.218,0.995,0.703,0.111,0.474,108.65,audio_features,spotify:track:21LbamEpL0IxNf86vsrrPP,https://api.spotify.com/v1/tracks/21LbamEpL0IxNf86vsrrPP,https://api.spotify.com/v1/audio-analysis/21LbamEpL0IxNf86vsrrPP,193760.0,5.0,,
595,595.0,3K6rkEQmk4aKxtwx4vB12n,Tera Noor,Vishal-Shekhar,['bollywood'],0.485,0.554,5.0,-8.88,1.0,0.0352,0.0752,0.00558,0.067,0.154,90.031,audio_features,spotify:track:3K6rkEQmk4aKxtwx4vB12n,https://api.spotify.com/v1/tracks/3K6rkEQmk4aKxtwx4vB12n,https://api.spotify.com/v1/audio-analysis/3K6rkEQmk4aKxtwx4vB12n,282791.0,4.0,,
596,596.0,5lQupy57EG3bPxVemABU0d,Rab Ne Mere,Kunal Ganjawala,['bollywood'],0.517,0.335,2.0,-8.455,0.0,0.0306,0.672,0.0,0.0986,0.415,134.084,audio_features,spotify:track:5lQupy57EG3bPxVemABU0d,https://api.spotify.com/v1/tracks/5lQupy57EG3bPxVemABU0d,https://api.spotify.com/v1/audio-analysis/5lQupy57EG3bPxVemABU0d,329453.0,4.0,,
597,597.0,6aMIZlCSVHu6X0hBX6JzqT,Bheem Majha Asa Hota,Sadhana Sargam,['bollywood'],0.558,0.446,4.0,-11.776,1.0,0.236,0.528,0.0,0.277,0.894,162.206,audio_features,spotify:track:6aMIZlCSVHu6X0hBX6JzqT,https://api.spotify.com/v1/tracks/6aMIZlCSVHu6X0hBX6JzqT,https://api.spotify.com/v1/audio-analysis/6aMIZlCSVHu6X0hBX6JzqT,579570.0,3.0,,
598,598.0,7kVmazLULu2DZvTwajpjAa,Bhabini Emon Din Asbe,Kumar Sanu,['bollywood'],0.598,0.758,8.0,-9.655,1.0,0.0474,0.426,0.0046,0.354,0.948,107.263,audio_features,spotify:track:7kVmazLULu2DZvTwajpjAa,https://api.spotify.com/v1/tracks/7kVmazLULu2DZvTwajpjAa,https://api.spotify.com/v1/audio-analysis/7kVmazLULu2DZvTwajpjAa,243012.0,4.0,,
599,599.0,7kVmazLULu2DZvTwajpjAa,Bhabini Emon Din Asbe,Kumar Sanu,['bollywood'],0.598,0.758,8.0,-9.655,1.0,0.0474,0.426,0.0046,0.354,0.948,107.263,audio_features,spotify:track:7kVmazLULu2DZvTwajpjAa,https://api.spotify.com/v1/tracks/7kVmazLULu2DZvTwajpjAa,https://api.spotify.com/v1/audio-analysis/7kVmazLULu2DZvTwajpjAa,243012.0,4.0,,
600,600.0,4WYo5dEixa8tK8pAXyNCLQ,"Cutiepie (From ""Ae Dil Hai Mushkil"")",Pritam,['bollywood'],0.799,0.929,0.0,-3.231,0.0,0.0668,0.253,0.000462,0.24,0.952,127.999,audio_features,spotify:track:4WYo5dEixa8tK8pAXyNCLQ,https://api.spotify.com/v1/tracks/4WYo5dEixa8tK8pAXyNCLQ,https://api.spotify.com/v1/audio-analysis/4WYo5dEixa8tK8pAXyNCLQ,231562.0,4.0,,
601,601.0,0ooJ1oOWFgSYjoI6eCrczd,"Jai Ambe Gauri - From ""Jai Ambe Gauri - Alka Yagnik- Zee Music Devotional""",Alka Yagnik,['bollywood'],0.652,0.692,5.0,-4.837,1.0,0.0304,0.812,0.0,0.149,0.666,95.992,audio_features,spotify:track:0ooJ1oOWFgSYjoI6eCrczd,https://api.spotify.com/v1/tracks/0ooJ1oOWFgSYjoI6eCrczd,https://api.spotify.com/v1/audio-analysis/0ooJ1oOWFgSYjoI6eCrczd,552500.0,4.0,,
602,602.0,6Aq6LN9pt3TxjkfAJmet5A,"Aila Re Aillaa (From ""Sooryavanshi"")",Pritam,['bollywood'],0.757,0.956,10.0,-3.277,0.0,0.131,0.0221,0.00012,0.227,0.627,104.921,audio_features,spotify:track:6Aq6LN9pt3TxjkfAJmet5A,https://api.spotify.com/v1/tracks/6Aq6LN9pt3TxjkfAJmet5A,https://api.spotify.com/v1/audio-analysis/6Aq6LN9pt3TxjkfAJmet5A,156043.0,3.0,,
603,603.0,6Aq6LN9pt3TxjkfAJmet5A,"Aila Re Aillaa (From ""Sooryavanshi"")",Pritam,['bollywood'],0.757,0.956,10.0,-3.277,0.0,0.131,0.0221,0.00012,0.227,0.627,104.921,audio_features,spotify:track:6Aq6LN9pt3TxjkfAJmet5A,https://api.spotify.com/v1/tracks/6Aq6LN9pt3TxjkfAJmet5A,https://api.spotify.com/v1/audio-analysis/6Aq6LN9pt3TxjkfAJmet5A,156043.0,3.0,,
604,604.0,7xK00yfGLNt2dLnYfTRKxq,Sapna Mera Toota,Rahat Fateh Ali Khan,['bollywood'],0.475,0.707,5.0,-5.707,1.0,0.0378,0.706,8.06e-06,0.382,0.742,150.057,audio_features,spotify:track:7xK00yfGLNt2dLnYfTRKxq,https://api.spotify.com/v1/tracks/7xK00yfGLNt2dLnYfTRKxq,https://api.spotify.com/v1/audio-analysis/7xK00yfGLNt2dLnYfTRKxq,350850.0,4.0,,
