,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,id,mood
84,0.129,0.115,145.451,0.0342,0.715,0.857,0.176,92055,-24.852,0.0352,6LRAb2JgRHOP6Zv0jptX4k,Relaxing
85,0.0341,0.109,71.671,0.0397,0.929,0.751,0.232,102400,-29.896,0.0345,4mnYHZDp7mraBoCVhp9fS8,Relaxing
86,0.0219,0.0875,139.833,0.0452,0.795,0.752,0.224,113143,-28.395,0.0549,3sOcwWj8Xr5Vpr7yLcyA06,Relaxing
87,0.107,0.0877,112.882,0.0414,0.216,0.677,0.252,97714,-27.718,0.0613,6eLNs7klsD1hwVw6DrTV7o,Relaxing
88,0.17,0.121,82.978,0.0408,0.702,0.81,0.176,99429,-25.314,0.0393,3b5iVZiWEDxJeROcScCYRF,Relaxing
89,0.0537,0.109,75.001,0.0382,0.74,0.736,0.12,88767,-30.992,0.0377,2bGhBaA2pJsKLOgwUQfhdH,Relaxing
90,0.0491,0.0952,110.337,0.0434,0.513,0.793,0.162,113143,-29.867,0.0393,2RVNMYXgfJCfxGSakTNUx2,Relaxing
91,0.0472,0.114,71.918,0.046,0.912,0.85,0.134,109714,-29.955,0.0723,1ka6WYQznjjKZkKYikONiM,Relaxing
92,0.105,0.116,106.983,0.0446,0.941,0.931,0.155,109714,-27.074,0.0387,2v6gDaHkHfojtLeK9Z9Zd6,Relaxing
93,0.131,0.0962,139.308,0.0377,0.667,0.767,0.195,96000,-25.896,0.039,2vl0jpEViZ3gkQMmiCVU34,Relaxing
94,0.066,0.0902,78.261,0.039,0.958,0.955,0.1,96000,-27.605,0.0346,5rAZ18w0BEU3XIkSvVesfQ,Relaxing
95,0.0419,0.0964,65.9,0.0366,0.892,0.926,0.264,96000,-24.491,0.105,1PkYyUW957EtXNL8h7O8h1,Relaxing
96,0.0854,0.104,72.322,0.04,0.845,0.869,0.152,96000,-26.351,0.0747,61OZSwAZFw1oBMGNBDDSxF,Relaxing
97,0.00119,0.112,69.275,0.518,0.996,0.973,0.624,68571,-37.794,0.0,0us61DzC86dpwdtNmM5voY,Relaxing
98,0.00489,0.106,69.818,0.089,0.996,0.973,0.65,75429,-35.817,0.648,7wrElpponSXCWj6DMSSJAL,Relaxing
99,0.0234,0.124,66.172,0.0524,0.993,0.929,0.547,94737,-26.511,0.57,06yt0JrpLQpsXDBRcn3e6Q,Relaxing
0,0.615,0.127,123.048,0.0898,0.189,1.2e-05,0.626,234147,-7.667,0.0795,2VP6E3tkWSbD2uHBioBDLp,Dark
1,0.577,0.334,154.975,0.0322,0.00164,0.00446,0.357,230310,-8.05,0.147,3TnGabS1ylWPNOTa2kJBDn,Dark
2,0.595,0.174,59.977,0.0332,0.176,9.11e-06,0.463,253513,-5.251,0.108,5XMYHUrX71sStmDNqJoyPZ,Dark
3,0.904,0.0433,94.481,0.0807,0.00302,0.0,0.562,158667,-4.947,0.651,3px2rAPu74ltbkf9eZsZ8h,Dark
4,0.661,0.076,142.889,0.0433,0.273,4.89e-05,0.509,211140,-4.334,0.421,0XVQTr58DZbLUcjacnTp8k,Dark
5,0.678,0.0761,134.037,0.0305,0.0281,0.0,0.565,229254,-6.776,0.284,7pFC5bvXuO0k1wrcQYlG06,Dark
6,0.551,0.0914,128.075,0.0335,0.482,0.0,0.383,260326,-6.542,0.108,6GRSgTmK2i61nsLOviQ8MJ,Dark
7,0.714,0.0683,86.926,0.0391,0.257,0.0,0.516,222414,-4.529,0.312,5UYYQuk6SjY3S892UuLXE3,Dark
8,0.486,0.0903,79.903,0.063,0.0273,0.000256,0.62,220173,-6.134,0.761,4MYl2TdloNHxQUkdQSgWcP,Dark
9,0.403,0.0662,77.032,0.0569,0.436,0.0,0.59,210274,-10.806,0.321,0ZPMI8Gnz7p6omBBIOwiO9,Dark
10,0.396,0.105,90.024,0.0286,0.0841,3.58e-05,0.732,195920,-9.348,0.548,6i0V12jOa3mr6uu4WYhUBr,Dark
11,0.786,0.65,169.021,0.317,0.255,0.0,0.502,243491,-4.378,0.739,4dASQiO1Eoo3RJvt74FtXB,Dark
12,0.562,0.209,72.945,0.03,0.175,9.17e-06,0.386,363114,-4.363,0.228,6hnhksrWAA4OYYpKRh8Oqb,Dark
13,0.789,0.214,97.52,0.0427,0.00532,0.0105,0.577,222707,-4.661,0.149,4TQcARE7Fd58akNhr3N7AE,Dark
14,0.922,0.363,132.059,0.0744,0.000247,0.388,0.617,212347,-3.474,0.6,1jq28NGw6wdtFKx8MBPy6C,Dark
